date,number,name,rating,n_reviews,price
2021-02-01,28,Echo Show 8 -- HD smart display with Alexa – stay connected with video calling - Charcoal,4.8,"163,295",$129.99
2021-02-01,29,"Acer SB220Q bi 21.5 Inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA Port), Black",4.7,"26,128",$93.99
2021-02-01,30,"Apple TV 4K (32GB, Latest Model)",4.8,"17,671",$169.00
2021-02-01,31,amFilm Tempered Glass Screen Protector for Nintendo Switch 2017 (2-Pack),4.8,"70,062",$6.79
2021-02-01,32,"TP-Link AC1750 Smart WiFi Router (Archer A7) - Dual Band Gigabit Wireless Internet Router for Home, Works with Alexa…",4.5,"39,456",$59.99
2021-02-01,33,"Fire 7 Kids Edition Tablet, 7"" Display, 16 GB, Blue Kid-Proof Case",4.6,"143,558",$99.99
2021-02-01,34,"Apple Watch Series 3 (GPS, 38mm) - Silver Aluminum Case with White Sport Band",4.8,"105,809",$169.00
2021-02-01,35,Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01),4.9,"58,462",$369.99
2021-02-01,36,"Cord Cover Raceway Kit, 157in Cable Cover Channel, Paintable Cord Concealer System Cable Hider, Cord Wires, Hiding Wall…",4.5,"12,168",$17.99
2021-02-01,37,"Power Strip with USB, TESSAN Mountable Flat Plug Extension Cord with 4 Widely Spaced Outlets, 3 USB Charger, 5 FT Power…",4.8,"14,399",$18.99
2021-02-01,38,"Apple Watch Series 3 (GPS, 38mm) - Space Gray Aluminium Case with Black Sport Band",4.8,"105,809",$169.00
2021-02-01,39,"Wyze Cam Pan 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the…",4.5,"56,726",$37.95
2021-02-01,40,"APEMAN Dash Cam 1080P FHD DVR Car Driving Recorder 3 Inch LCD Screen 170° Wide Angle, G-Sensor, WDR, Parking Monitor…",4.4,"23,430",$44.99
2021-02-01,41,"USB Wall Charger, Surge Protector, POWRUI 6-Outlet Extender with 2 USB Charging Ports (2.4A Total) and Night Light, 3…",4.7,"22,597",$19.97
2021-02-01,42,"VELCRO Brand ONE-WRAP Cable Ties | 100Pk | 8 x 1/2"" Black Cord Organization Straps | Thin Pre-Cut Design | Wire…",4.8,"21,864",$11.58
2021-02-01,43,Carnival Games Nintendo Switch,4.4,"11,679",$14.99
2021-02-01,44,"Fire HD 8 Kids Edition tablet, 8"" HD display, 32 GB, Blue Kid-Proof Case",4.7,"59,374",$139.99
2021-02-01,45,"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD…",4.6,"23,983",$364.99
2021-02-01,46,"NETGEAR Nighthawk Smart Wi-Fi Router, R6700 - AC1750 Wireless Speed Up to 1750 Mbps | Up to 1500 Sq Ft Coverage & 25…",4.3,"67,704",$78.39
2021-02-01,47,"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep and Swim Tracking, Black…",4.6,"87,036",$148.95
2021-02-01,48,"Certified Refurbished Fire TV Stick 4K with Alexa Voice Remote, streaming media player",4.6,"10,921",$34.99
2021-02-01,49,"GE 6 Outlet Power Strip, 8 Ft Long Extension Cord, Grounded Outlets, UL Listed, White, 14832",4.7,"13,024",$7.99
2021-02-01,50,Echo Auto- Hands-free Alexa in your car with your phone,4.0,"95,716",$24.99
2021-02-01,51,"New Apple iPad (10.2-inch, Wi-Fi, 32GB) - Gold (Latest Model, 8th Generation)",4.9,"22,062",$299.00
2021-02-01,52,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - Black",4.6,"24,990",$99.99
2021-02-01,53,"TCL 32"" 3-Series 720p Roku Smart TV - 32S335",4.6,"40,058",$128.00
2021-02-01,54,Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal),4.6,"31,044",$89.99
2021-02-01,55,SUPERDANNY USB Surge Protector Power Strip Mountable Extension Cord Multiple Protection 5 Outlet 3 USB Port with Hook…,4.8,"15,489",$16.99
2021-02-01,56,Fire TV Cube | Hands-free streaming device with Alexa | 4K Ultra HD | 2019 release,4.6,"36,927",$104.99
2021-02-01,57,"Majority Bowfell Small Sound Bar for TV with Bluetooth, RCA, USB, Opt, AUX Connection, Mini Sound/Audio System for TV…",4.2,"3,493",$36.95
2021-02-01,58,Nintendo Switch AC Adapter,4.8,"7,001",$26.88
2021-02-01,59,"GE, White, 6 Outlet 2 Pack, 2 Ft Cord, Switched Power Strip, Integrated Circuit Breaker, Overload Protection, Wall…",4.7,"13,024",$12.42
2021-02-01,60,Victure 1080P 4Pcs Indoor Security Camera System Home Monitor with 2.4Ghz Pet/Baby/Nanny Security Surveillance Camera…,4.3,"10,465",$33.99
2021-02-01,61,"Apple iPad mini (Wi-Fi, 64GB) - Silver (Latest Model)",4.8,"12,129",$334.99
2021-02-01,62,Super Mario 3D All-Stars - Nintendo Switch,4.8,"33,272",Not available
2021-02-01,63,"Anker Power Strip with USB, PowerPort Cube USB with 3 Outlets and 3 USB Ports, 5 ft Extension Cord, Portable Design…",4.8,"24,754",$16.14
2021-02-01,64,"Willful Smart Watch for Android Phones and iOS Phones Compatible iPhone Samsung, IP68 Swimming Waterproof Smartwatch…",4.3,"27,841",$35.99
2021-02-01,65,"Hmrope 100pcs Cable Zip Ties Heavy Duty 8 Inch, Premium Plastic Wire Ties with 50 Pounds Tensile Strength, Self-Locking…",4.7,"6,936",$6.29
2021-02-01,66,"Ear Wax Removal Endoscope Otoscope, Earwax Remover Tools, Scope, with 1080P FHD Camera, 6 Led Lights, Wireless Connected…",4.6,"1,589",$38.98
2021-02-01,67,"Surge Protector Wall Mount , Outlet Splitter with Rotating Plug, POWERIVER Power Strip with 6 Outlet Extender (3 Side…",4.6,"8,847",$15.98
2021-02-01,68,"Power Strip,Witeem Surge Protector with 12-Outlet (1875W/15A,4360Joules) and 4 USB Charging Ports (5V/6A,30W),6Ft…",4.8,"8,919",$26.99
2021-02-01,69,"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170…",4.5,"12,502",$79.97
2021-02-01,70,"TCL 4K Smart LED TV, 50"" (50S435)",4.6,"1,830",$299.99
2021-02-01,71,"Tile Slim (2020) 1-pack - Slim & Sleek Bluetooth Tracker, Item Locator and Finder for Wallets, Passports and Electronic…",4.6,"16,514",$23.99
2021-02-01,72,"Fujifilm INSTAX Mini Instant Film 2 Pack = 20 Sheets (White) for Fujifilm Mini 8 & Mini 9 Cameras, Model:4332059078",4.7,"14,459",$15.99
